iter	Passed	Remaining
410	3665	5252
411	3674	5244
412	3682	5234
413	3693	5227
414	3702	5219
415	3709	5207
416	3718	5198
417	3724	5185
418	3735	5179
419	3741	5166
420	3751	5159
421	3757	5145
422	3766	5137
423	3771	5123
424	3780	5114
425	3785	5100
426	3793	5090
427	3800	5079
428	3807	5067
429	3814	5057
430	3820	5044
431	3830	5035
432	3835	5022
433	3845	5014
434	3850	5001
435	3860	4993
436	3865	4979
437	3874	4971
438	3880	4958
439	3888	4948
440	3893	4935
441	3899	4922
442	3908	4914
443	3913	4901
444	3922	4892
445	3927	4878
446	3937	4871
447	3942	4857
448	3949	4846
449	3956	4835
450	3961	4822
451	3969	4812
452	3974	4799
453	3983	4791
454	3988	4778
455	3998	4769
456	4002	4755
457	4009	4745
458	4016	4733
459	4021	4720
460	4030	4711
461	4035	4699
462	4045	4691
463	4050	4679
464	4060	4671
465	4064	4657
466	4072	4648
467	4077	4634
468	4085	4626
469	4092	4615
470	4098	4603
471	4105	4592
472	4110	4579
473	4119	4570
474	4123	4558
475	4130	4547
476	4137	4536
477	4142	4524
478	4151	4516
479	4157	4503
480	4166	4495
481	4170	4482
482	4177	4471
483	4185	4461
484	4191	4450
485	4198	4440
486	4204	4428
487	4211	4418
488	4216	4406
489	4227	4400
490	4233	4388
491	4245	4383
492	4251	4371
493	4261	4364
494	4269	4355
495	4279	4348
496	4284	4336
497	4294	4329
498	4300	4317
499	4309	4309
500	4313	4296
501	4320	4286
502	4327	4275
503	4331	4263
504	4340	4255
505	4346	4242
506	4352	4232
507	4359	4221
508	4363	4209
509	4372	4201
510	4377	4188
511	4385	4180
512	4390	4168
513	4396	4157
514	4403	4146
515	4407	4134
516	4418	4127
517	4422	4115
518	4431	4107
519	4436	4095
520	4442	4084
521	4449	4074
522	4455	4063
523	4464	4055
524	4469	4043
525	4477	4034
526	4482	4022
527	4486	4010
528	4496	4003
529	4501	3991
530	4505	3979
531	4512	3969
532	4517	3957
533	4525	3949
534	4530	3937
535	4536	3927
536	4543	3917
537	4548	3905
538	4557	3897
539	4562	3886
540	4570	3878
541	4575	3866
542	4580	3855
543	4591	3848
544	4596	3837
545	4605	3829
546	4610	3817
547	4619	3810
548	4626	3800
549	4632	3790
550	4640	3781
551	4645	3770
552	4653	3761
553	4659	3751
554	4667	3742
555	4673	3731
556	4679	3722
557	4686	3712
558	4691	3701
559	4699	3692
560	4706	3682
561	4713	3673
562	4719	3663
563	4725	3652
564	4734	3644
565	4739	3633
566	4748	3626
567	4754	3615
568	4765	3609
569	4770	3598
570	4777	3589
571	4783	3579
572	4792	3571
573	4798	3560
574	4803	3550
575	4808	3539
576	4814	3529
577	4822	3520
578	4829	3511
579	4836	3502
580	4842	3492
581	4847	3481
582	4855	3472
583	4862	3463
584	4869	3454
585	4875	3444
586	4879	3433
587	4887	3424
588	4893	3414
589	4900	3405
590	4905	3394
591	4909	3383
592	4918	3375
593	4925	3366
594	4930	3356
595	4939	3348
596	4945	3338
597	4952	3329
598	4957	3318
599	4961	3307
600	4966	3297
601	4970	3286
602	4975	3275
603	4984	3268
604	4990	3258
605	4995	3247
606	5000	3237
607	5010	3230
608	5015	3220
609	5020	3209
610	5030	3202
611	5035	3192
612	5040	3181
613	5044	3171
614	5055	3164
615	5061	3155
616	5066	3144
617	5076	3137
618	5080	3127
619	5086	3117
620	5096	3110
621	5101	3100
622	5106	3090
623	5112	3080
624	5120	3072
625	5125	3062
626	5130	3052
627	5140	3044
628	5145	3034
629	5149	3024
630	5155	3015
631	5165	3007
632	5170	2997
633	5174	2987
634	5182	2978
635	5188	2969
636	5193	2959
637	5197	2949
638	5202	2938
639	5205	2928
640	5210	2918
641	5214	2908
642	5220	2898
643	5229	2891
644	5234	2880
645	5238	2870
646	5244	2861
647	5252	2853
648	5256	2843
649	5261	2833
650	5267	2823
651	5271	2813
652	5276	2803
653	5280	2793
654	5292	2787
655	5296	2777
656	5300	2767
657	5304	2757
658	5313	2749
659	5318	2739
660	5322	2729
661	5327	2719
662	5332	2710
663	5336	2700
664	5341	2690
665	5345	2680
666	5355	2673
667	5360	2663
668	5364	2654
669	5369	2644
670	5377	2636
671	5381	2626
672	5385	2616
673	5390	2607
674	5393	2596
675	5397	2587
676	5402	2577
677	5406	2567
678	5418	2561
679	5423	2552
680	5428	2542
681	5433	2533
682	5439	2524
683	5443	2514
684	5451	2506
685	5455	2497
686	5461	2488
687	5470	2480
688	5474	2471
689	5479	2461
690	5483	2452
691	5488	2442
692	5493	2433
693	5508	2428
694	5512	2419
695	5516	2409
696	5521	2400
697	5525	2390
698	5530	2381
699	5533	2371
700	5539	2362
701	5544	2353
702	5548	2344
703	5553	2334
704	5568	2329
705	5574	2321
706	5580	2312
707	5591	2306
708	5596	2296
709	5608	2290
710	5612	2281
711	5617	2272
712	5624	2263
713	5634	2257
714	5650	2252
715	5656	2243
716	5662	2234
717	5667	2225
718	5674	2217
719	5683	2210
720	5688	2201
721	5697	2193
722	5702	2184
723	5712	2177
724	5717	2168
725	5721	2159
726	5733	2153
727	5743	2146
728	5751	2138
729	5759	2130
730	5763	2120
731	5768	2111
732	5779	2105
733	5783	2096
734	5790	2087
735	5794	2078
736	5799	2069
737	5808	2062
738	5820	2055
739	5830	2048
740	5840	2041
741	5847	2033
742	5853	2024
743	5859	2016
744	5864	2007
745	5869	1998
746	5872	1988
747	5881	1981
748	5886	1972
749	5891	1963
750	5895	1954
751	5900	1945
752	5904	1936
753	5909	1927
754	5913	1918
755	5917	1909
756	5921	1900
757	5933	1894
758	5937	1885
759	5942	1876
760	5946	1867
761	5956	1860
762	5960	1851
763	5964	1842
764	5969	1833
765	5978	1826
766	5982	1817
767	5987	1808
768	5991	1799
769	5996	1791
770	6005	1783
771	6011	1775
772	6016	1766
773	6022	1758
774	6029	1750
775	6034	1741
776	6038	1733
777	6042	1724
778	6051	1716
779	6058	1708
780	6062	1700
781	6068	1691
782	6077	1684
783	6082	1675
784	6090	1668
785	6096	1659
786	6101	1651
787	6107	1643
788	6116	1635
789	6121	1627
790	6125	1618
791	6129	1609
792	6136	1601
793	6141	1593
794	6145	1584
795	6149	1576
796	6155	1567
