iter	Logloss
0	0.6844296265
1	0.6762011719
2	0.6682956543
3	0.6605709229
4	0.6532356567
5	0.646067627
6	0.638975769
7	0.6321094971
8	0.6245223389
9	0.6178196411
10	0.6111223145
11	0.6050369873
12	0.5990263672
13	0.5936139526
14	0.5886834717
15	0.583928772
16	0.5778851318
17	0.5732410889
18	0.5678337402
19	0.5623280029
20	0.5573399658
21	0.5524971924
22	0.5481625977
23	0.5429197998
24	0.538152832
25	0.5335592041
26	0.5296791992
27	0.5260344238
28	0.5216188965
29	0.5174730225
30	0.5131169434
31	0.509117218
32	0.5052213135
33	0.5020690002
34	0.4987940063
35	0.4950377197
36	0.4916412659
37	0.4889836731
38	0.4855821533
39	0.4831193848
40	0.4802914124
41	0.4770534973
42	0.4736935425
43	0.470618042
44	0.4677774353
45	0.4649162292
46	0.4625837402
47	0.4605257568
48	0.4580479736
49	0.4555582275
50	0.453333313
51	0.4508232117
52	0.4488787231
53	0.4468101196
54	0.4443718262
55	0.4423017883
56	0.4404104919
57	0.4380213623
58	0.4359863892
59	0.4338314819
60	0.4320799561
61	0.4300252686
62	0.4281089478
63	0.426036438
64	0.4245112305
65	0.4226844788
66	0.4211824341
67	0.4196847839
68	0.4178022766
69	0.4164299927
70	0.4146968384
71	0.413338562
72	0.4115569458
73	0.4101358643
74	0.4086574097
75	0.4075366516
76	0.4062789917
77	0.4047555542
78	0.4035158691
79	0.4021560059
80	0.4008145142
81	0.3997081299
82	0.3987434692
83	0.3975415039
84	0.3960923767
85	0.395168335
86	0.3937999878
87	0.3930170593
88	0.3917053223
89	0.3905631409
90	0.3896357422
91	0.3887900391
92	0.3876755981
93	0.3867006531
94	0.3860641479
95	0.3851290588
96	0.384171875
97	0.3831519165
98	0.3823912659
99	0.3817631836
100	0.3811263428
101	0.3803022766
102	0.3795941772
103	0.3787199402
104	0.3778517151
105	0.3771974182
106	0.3766449585
107	0.3760371704
108	0.3753704834
109	0.3746137695
110	0.373842926
111	0.373206665
112	0.3725318604
113	0.3719384766
114	0.3713040161
115	0.370937561
116	0.3704024048
117	0.3698615723
118	0.3690715942
119	0.3682144165
120	0.3676629028
121	0.3671880188
122	0.3664071045
123	0.3657122192
124	0.3651453857
125	0.3644909668
126	0.3640491638
